TRatePercent,Health_Events,Geography,CalendarYear,Gender,RaceEthnicity,Textbox3,DT_Count,DT_Population,DT_RATE,DT_LB,DT_UB1,Significance,County_Code
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,All Races,5 to 14,ND,"13,428",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,All Races,15 to 34,ND,"30,503",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,All Races,35 to 64,33,"47,222",6.8,4.5,9.1,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,All Races,65+,16,"19,129",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,White,All ages,60,"108,332",5.6,4.2,7.0,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,White,5 to 14,ND,"11,798",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,White,15 to 34,ND,"27,728",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,White,35 to 64,25,"44,586",5.7,3.5,7.9,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,White,65+,16,"18,756",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Black,All ages,12,"5,386",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Black,5 to 14,ND,835,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Black,15 to 34,ND,"1,870",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Black,35 to 64,ND,"1,980",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Black,65+,ND,242,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Hispanic,All ages,ND,"1,727",ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Hispanic,5 to 14,ND,395,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Hispanic,15 to 34,ND,652,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Hispanic,35 to 64,ND,413,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,Lycoming,2011,Total,Hispanic,65+,ND,63,ND,ND,ND,-,081
   Age-Adjusted Rate,Asthma,McKean,2011,Total,All Races,All ages,36,"43,186",8.2,5.5,10.9,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,All Races,5 to 14,ND,"5,044",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,All Races,15 to 34,ND,"10,535",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,All Races,35 to 64,10,"17,938",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,All Races,65+,10,"7,376",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,White,All ages,36,"41,446",8.5,5.7,11.3,,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,White,5 to 14,ND,"4,886",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,White,15 to 34,ND,"9,746",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,White,35 to 64,10,"17,297",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,White,65+,10,"7,318",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Black,All ages,ND,"1,031",ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Black,5 to 14,ND,30,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Black,15 to 34,ND,564,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Black,35 to 64,ND,403,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Black,65+,ND,10,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Hispanic,All ages,ND,789,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Hispanic,5 to 14,ND,86,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Hispanic,15 to 34,ND,335,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Hispanic,35 to 64,ND,286,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,McKean,2011,Total,Hispanic,65+,ND,25,ND,ND,ND,-,083
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,All Races,All ages,107,"116,125",8.7,7.1,10.3,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,All Races,5 to 14,ND,"13,800",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,All Races,15 to 34,13,"27,777",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,All Races,35 to 64,48,"47,094",9.9,7.1,12.7,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,All Races,65+,31,"21,638",14.6,9.5,19.7,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,White,All ages,86,"106,698",7.5,5.9,9.1,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,White,5 to 14,ND,"12,120",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,White,15 to 34,10,"24,730",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,White,35 to 64,40,"44,056",9.2,6.3,12.1,,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,White,65+,28,"20,803",13.6,8.6,18.6,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Black,All ages,18,"6,709",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Black,5 to 14,ND,"1,006",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Black,15 to 34,ND,"2,174",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Black,35 to 64,ND,"2,401",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Black,65+,ND,687,ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Hispanic,All ages,ND,"1,315",ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Hispanic,5 to 14,ND,251,ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Hispanic,15 to 34,ND,498,ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Hispanic,35 to 64,ND,358,ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mercer,2011,Total,Hispanic,65+,ND,87,ND,ND,ND,-,085
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,All Races,All ages,51,"46,770",10.2,7.4,13.0,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,All Races,5 to 14,ND,"5,980",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,All Races,15 to 34,ND,"10,248",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,All Races,35 to 64,25,"18,928",13.5,8.2,18.8,,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,All Races,65+,15,"8,766",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,White,All ages,50,"45,739",10.2,7.4,13.0,,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,White,5 to 14,ND,"5,760",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,White,15 to 34,ND,"9,928",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,White,35 to 64,25,"18,623",13.8,8.4,19.2,,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,White,65+,14,"8,693",ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Black,All ages,ND,338,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Black,5 to 14,ND,71,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Black,15 to 34,ND,112,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Black,35 to 64,ND,109,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Black,65+,ND,20,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Hispanic,All ages,ND,565,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Hispanic,5 to 14,ND,147,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Hispanic,15 to 34,ND,163,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Hispanic,35 to 64,ND,131,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Mifflin,2011,Total,Hispanic,65+,ND,27,ND,ND,ND,-,087
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,All Races,All ages,206,"169,822",12.1,10.4,13.8,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,All Races,5 to 14,29,"22,466",13.3,8.5,18.1,,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,All Races,15 to 34,17,"42,957",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,All Races,35 to 64,96,"73,844",12.0,9.6,14.4,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,All Races,65+,41,"22,251",18.8,13.0,24.6,,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,White,All ages,149,"136,672",10.7,9.0,12.4,,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,White,5 to 14,16,"16,207",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,White,15 to 34,13,"33,837",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,White,35 to 64,69,"60,503",10.9,8.3,13.5,,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,White,65+,37,"20,095",18.6,12.6,24.6,,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Black,All ages,46,"24,447",19.2,13.7,24.7,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Black,5 to 14,ND,"4,416",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Black,15 to 34,ND,"6,742",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Black,35 to 64,23,"10,223",20.3,12.0,28.6,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Black,65+,ND,"1,612",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Hispanic,All ages,16,"23,091",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Hispanic,5 to 14,ND,"4,614",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Hispanic,15 to 34,ND,"6,990",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Hispanic,35 to 64,ND,"8,441",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Monroe,2011,Total,Hispanic,65+,ND,"1,199",ND,ND,ND,-,089
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,All Races,All ages,952,"805,217",11.4,10.7,12.1,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,All Races,5 to 14,87,"102,267",8.6,6.8,10.4,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,All Races,15 to 34,106,"194,925",5.5,4.5,6.5,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,All Races,35 to 64,350,"338,420",10.0,9.0,11.0,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,All Races,65+,267,"122,683",21.4,18.8,24.0,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,White,All ages,624,"661,913",8.6,7.9,9.3,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,White,5 to 14,42,"79,292",5.4,3.8,7.0,,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,White,15 to 34,58,"153,252",3.8,2.8,4.8,,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,White,35 to 64,219,"283,702",7.2,6.2,8.2,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,White,65+,223,"110,236",19.4,16.9,21.9,,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Black,All ages,230,"72,660",32.4,28.2,36.6,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Black,5 to 14,34,"10,566",32.4,21.5,43.3,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Black,15 to 34,30,"21,083",14.1,9.1,19.1,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Black,35 to 64,102,"28,831",34.6,27.9,41.3,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Black,65+,34,"7,533",47.9,31.8,64.0,,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Hispanic,All ages,39,"35,292",14.0,9.6,18.4,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Hispanic,5 to 14,ND,"6,322",ND,ND,ND,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Hispanic,15 to 34,ND,"12,865",ND,ND,ND,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Hispanic,35 to 64,15,"10,580",ND,ND,ND,-,091
   Age-Adjusted Rate,Asthma,Montgomery,2011,Total,Hispanic,65+,ND,"1,320",ND,ND,ND,-,091
   Age-Adjusted Rate,Asthma,Montour,2011,Total,All Races,All ages,14,"18,370",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,All Races,5 to 14,ND,"2,041",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,All Races,15 to 34,ND,"4,235",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,All Races,35 to 64,ND,"7,571",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,All Races,65+,ND,"3,441",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,White,All ages,14,"17,524",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,White,5 to 14,ND,"1,907",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,White,15 to 34,ND,"3,917",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,White,35 to 64,ND,"7,319",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,White,65+,ND,"3,395",ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Black,All ages,ND,292,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Black,5 to 14,ND,36,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Black,15 to 34,ND,145,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Black,35 to 64,ND,75,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Black,65+,ND,8,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Hispanic,All ages,ND,374,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Hispanic,5 to 14,ND,66,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Hispanic,15 to 34,ND,143,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Hispanic,35 to 64,ND,111,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Montour,2011,Total,Hispanic,65+,ND,16,ND,ND,ND,-,093
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,All Races,All ages,436,"298,361",13.5,12.2,14.8,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,All Races,5 to 14,30,"36,484",8.3,5.3,11.3,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,All Races,15 to 34,41,"74,422",5.8,4.0,7.6,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,All Races,35 to 64,194,"124,492",14.2,12.2,16.2,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,All Races,65+,130,"47,300",27.0,22.4,31.6,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,White,All ages,288,"266,419",9.5,8.4,10.6,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,White,5 to 14,15,"30,482",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,White,15 to 34,23,"64,044",3.9,2.3,5.5,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,White,35 to 64,130,"113,738",10.2,8.4,12.0,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,White,65+,96,"45,435",20.0,16.0,24.0,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Black,All ages,39,"17,435",24.9,17.1,32.7,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Black,5 to 14,ND,"3,119",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Black,15 to 34,ND,"5,655",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Black,35 to 64,25,"6,224",38.3,23.3,53.3,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Black,65+,ND,"1,022",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Hispanic,All ages,56,"32,665",26.1,19.3,32.9,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Hispanic,5 to 14,ND,"6,383",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Hispanic,15 to 34,ND,"10,907",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Hispanic,35 to 64,21,"10,496",20.1,11.5,28.7,,095
   Age-Adjusted Rate,Asthma,Northampton,2011,Total,Hispanic,65+,19,"1,690",ND,ND,ND,-,095
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,All Races,All ages,82,"94,462",7.4,5.8,9.0,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,All Races,5 to 14,ND,"10,629",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,All Races,15 to 34,ND,"21,694",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,All Races,35 to 64,40,"39,555",9.2,6.3,12.1,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,All Races,65+,26,"17,491",14.1,8.7,19.5,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,White,All ages,76,"90,750",7.1,5.5,8.7,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,White,5 to 14,ND,"10,020",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,White,15 to 34,ND,"20,245",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,White,35 to 64,38,"38,398",8.9,6.1,11.7,,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,White,65+,24,"17,344",13.2,7.9,18.5,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Black,All ages,ND,"2,156",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Black,5 to 14,ND,240,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Black,15 to 34,ND,"1,012",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Black,35 to 64,ND,739,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Black,65+,ND,51,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Hispanic,All ages,ND,"2,399",ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Hispanic,5 to 14,ND,540,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Hispanic,15 to 34,ND,841,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Hispanic,35 to 64,ND,623,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Northumberland,2011,Total,Hispanic,65+,ND,86,ND,ND,ND,-,097
   Age-Adjusted Rate,Asthma,Perry,2011,Total,All Races,All ages,27,"45,860",5.8,3.6,8.0,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,All Races,5 to 14,ND,"5,720",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,All Races,15 to 34,ND,"10,747",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,All Races,35 to 64,10,"20,217",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,All Races,65+,ND,"6,382",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,White,All ages,26,"44,769",5.7,3.5,7.9,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,White,5 to 14,ND,"5,530",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,White,15 to 34,ND,"10,350",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,White,35 to 64,10,"19,901",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,White,65+,ND,"6,332",ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Black,All ages,ND,358,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Black,5 to 14,ND,51,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Black,15 to 34,ND,164,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Black,35 to 64,ND,87,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Black,65+,ND,16,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Hispanic,All ages,ND,665,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Hispanic,5 to 14,ND,138,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Hispanic,15 to 34,ND,244,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Hispanic,35 to 64,ND,161,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Perry,2011,Total,Hispanic,65+,ND,25,ND,ND,ND,-,099
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,All Races,All ages,"7,453","1,538,497",50.8,49.6,52.0,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,All Races,5 to 14,"1,454","181,464",79.8,75.7,83.9,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,All Races,15 to 34,881,"513,571",18.0,16.8,19.2,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,All Races,35 to 64,"2,423","552,701",42.5,40.8,44.2,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,All Races,65+,806,"185,753",43.5,40.5,46.5,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,White,All ages,"1,005","700,293",14.9,14.0,15.8,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,White,5 to 14,84,"62,169",13.4,10.5,16.3,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,White,15 to 34,137,"246,496",5.6,4.7,6.5,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,White,35 to 64,382,"252,442",14.4,13.0,15.8,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,White,65+,242,"101,393",23.1,20.2,26.0,,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Black,All ages,"4,849","686,255",69.7,67.7,71.7,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Black,5 to 14,925,"98,994",93.5,87.5,99.5,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Black,15 to 34,589,"207,492",29.1,26.7,31.5,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Black,35 to 64,"1,786","251,488",68.6,65.4,71.8,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Black,65+,443,"74,372",59.7,54.1,65.3,,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Hispanic,All ages,"1,254","195,450",58.5,55.3,61.7,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Hispanic,5 to 14,352,"34,559",100.6,90.1,111.1,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Hispanic,15 to 34,114,"71,075",16.2,13.2,19.2,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Hispanic,35 to 64,199,"58,942",34.3,29.5,39.1,+,101
   Age-Adjusted Rate,Asthma,Philadelphia,2011,Total,Hispanic,65+,73,"9,606",75.1,57.9,92.3,+,101
   Age-Adjusted Rate,Asthma,Pike,2011,Total,All Races,All ages,24,"57,519",4.0,2.4,5.6,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,All Races,5 to 14,ND,"7,336",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,All Races,15 to 34,ND,"11,955",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,All Races,35 to 64,11,"25,545",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,All Races,65+,ND,"10,169",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,White,All ages,15,"52,113",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,White,5 to 14,ND,"6,347",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,White,15 to 34,ND,"10,585",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,White,35 to 64,ND,"23,308",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,White,65+,ND,"9,728",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Black,All ages,ND,"3,516",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Black,5 to 14,ND,595,ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Black,15 to 34,ND,885,ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Black,35 to 64,ND,"1,515",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Black,65+,ND,316,ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Hispanic,All ages,ND,"5,347",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Hispanic,5 to 14,ND,"1,039",ND,ND,ND,-,103
   Age-Adjusted Rate,Asthma,Pike,2011,Total,Hispanic,15 to 34,ND,"1,578",ND,ND,ND,-,103
